,Synset16,PoS,Palabra,TagCount
743,00268534,n,maltrato,18
744,00268796,n,insultos,1
745,00269249,n,persecución,160
746,00269563,n,opresión,6
747,00269667,n,pogromo,4
748,00269667,n,pogrom,2
749,00269890,n,crucifixión,17
750,00270022,n,crueldad,2
751,00270190,n,atrocidad,32
752,00270320,n,ensañamiento,3
753,00270320,n,barbarie,10
754,00270320,n,brutalidad,17
755,00270320,n,salvajada,1
756,00270320,n,barbarismo,4
757,00270440,n,ultraje,3
758,00270514,n,hostigamiento,13
759,00270946,n,enfado,11
760,00270946,n,vejación,9
761,00271815,n,explotación,3
762,00271974,n,colonialismo,19
763,00272187,n,neocolonialismo,1
764,00272358,n,recreación,46
765,00272358,n,diversión,49
766,00273222,n,médicos,3
767,00273447,n,bomberos,5
768,00273579,n,hobby,15
769,00273579,n,pasatiempo,15
770,00273579,n,distracción,27
771,00274048,n,escapismo,1
772,00274505,n,deporte,510
773,00274956,n,deporte,1
774,00275488,n,gimnasia,44
775,00275488,n,gimnástica,1
776,00275647,n,acrobacia,25
777,00276362,n,vertical,58
778,00276981,n,voltereta,4
779,00277973,n,cabriola,1
780,00278798,n,salto_de_longitud,1
781,00279937,n,natación,54
782,00280506,n,zambullida,2
783,00280586,n,inmersión,3
784,00281787,n,buceo,40
785,00281787,n,submarinismo,5
786,00282130,n,surf,30
787,00282390,n,remo,1
788,00282787,n,boxeo,248
789,00282787,n,pugilismo,1
790,00283141,n,combate,11
791,00283913,n,lucha,3
792,00284326,n,patinaje,12
793,00284852,n,carreras,24
794,00285479,n,equitación,1
795,00285625,n,hípica,9
796,00286443,n,ciclismo,111
797,00286515,n,motociclismo,26
798,00286858,n,tauromaquia,8
799,00286858,n,toreo,13
800,00287066,n,cacería,34
801,00287066,n,montería,2
802,00287066,n,caza,190
803,00287323,n,batida,1
804,00288131,n,pesca,180
805,00289269,n,juego,2387
806,00290685,n,turno,26
807,00291287,n,down,58
808,00291414,n,bateo,7
809,00292171,n,videojuego,492
810,00294570,n,curling,1
811,00296274,n,hockey,111
812,00296965,n,waterpolo,46
813,00297363,n,golf,152
814,00298267,n,croquet,1
815,00298453,n,tejo,6
816,00299061,n,hockey,33
817,00299609,n,fútbol_americano,6
818,00299935,n,fútbol_profesional,1
819,00300322,n,rugby,68
820,00300632,n,melé,18
821,00300911,n,béisbol,124
822,00302772,n,softball,3
823,00303222,n,críquet,3
824,00304176,n,lacrosse,2
825,00304700,n,fútbol,1248
826,00304700,n,balompié,7
827,00304914,n,regate,1
828,00305357,n,balonmano,64
829,00305795,n,squash,4
830,00305986,n,voleibol,43
831,00306141,n,frontón,37
832,00306283,n,bádminton,3
833,00306597,n,baloncesto,383
834,00307617,n,tenis,122
835,00307964,n,break,21
836,00308543,n,dobles,8
837,00309755,n,rayuela,4
838,00312507,n,corte,4
839,00313120,n,blackjack,2
840,00313329,n,bridge,31
841,00316240,n,poker,5
842,00316920,n,solitario,4
843,00320040,n,ping-pong,2
844,00320316,n,billar,29
845,00320766,n,carambola,2
846,00321585,n,snooker,4
847,00322381,n,scrabble,2
848,00323017,n,damas,4
849,00323207,n,ajedrez,155
850,00324105,n,bingo,16
851,00324290,n,tómbola,1
852,00324666,n,monopoly,2
853,00325014,n,parchís,1
854,00326232,n,apuesta,74
855,00327464,n,lotería,12
856,00327464,n,loto,8
857,00327804,n,rifa,3
858,00328060,n,dados,2
859,00328496,n,festejo,65
860,00328496,n,edición,4065
861,00328689,n,juerga,6
862,00328836,n,jarana,2
863,00328944,n,alborozo,1
864,00328944,n,algazara,1
865,00329202,n,francachela,1
866,00329202,n,parranda,5
867,00329202,n,borrachera,9
868,00329202,n,melopea,1
869,00329304,n,castaña,1
870,00329473,n,farra,2
871,00329560,n,orgía,4
872,00329560,n,bacanal,2
873,00329759,n,carnaval,130
874,00330021,n,travesura,11
875,00330518,n,coqueteo,3
876,00330518,n,escarceo,1
877,00330518,n,flirteo,5
878,00330518,n,devaneo,1
879,00331225,n,broma,2
880,00331381,n,tártago,1
881,00331381,n,chueca,4
882,00331381,n,jugarreta,1
883,00331680,n,novatada,3
884,00332306,n,entretenimiento,97
885,00332566,n,celebración,1
886,00332755,n,juegos_olímpicos,3
887,00333254,n,festival,461
888,00333768,n,saturnales,1
889,00333978,n,gala,12
890,00334294,n,feria,135
891,00334700,n,circo,64
892,00335147,n,muestra,261
893,00335498,n,cabaret,40
894,00335706,n,entreacto,1
895,00335706,n,intermezzo,6
896,00335874,n,alarde,7
897,00335874,n,gala,128
898,00335980,n,exhibición,17
899,00336149,n,presentación,22
900,00336519,n,exhibición,3
901,00336842,n,rodeo,21
902,00337330,n,danza,133
903,00337330,n,baile,248
904,00338236,n,pavana,2
905,00338341,n,zarabanda,1
906,00338800,n,claqué,1
907,00338800,n,zapateado,1
908,00339532,n,ballet,53
909,00340075,n,ballet_clásico,2
910,00341135,n,bolero,21
911,00341439,n,cancán,1
912,00341852,n,striptease,6
913,00342945,n,fandango,13
914,00343242,n,flamenco,11
915,00343430,n,gavota,5
916,00343528,n,shag,1
917,00344796,n,cha-cha-chá,2
918,00344796,n,chachachá,2
919,00345159,n,fox-trot,11
920,00345159,n,foxtrot,67
921,00345159,n,fox,85
922,00345424,n,bolero,4
923,00345654,n,charlestón,3
924,00346424,n,samba,5
925,00346637,n,tango,1
926,00346730,n,vals,75
927,00347194,n,mazurca,2
928,00347390,n,chotis,1
929,00347788,n,rumba,16
930,00350143,n,swing,19
931,00351993,n,música,14
932,00352710,n,jazz,329
933,00352985,n,bop,12
934,00352985,n,bebop,13
935,00353377,n,rock,914
936,00353377,n,rock_&_roll,764
937,00353377,n,rock_and_roll,480
938,00353836,n,swing,12
939,00354500,n,cante,21
940,00354500,n,canto,188
941,00354935,n,bel_canto,1
942,00355108,n,canción,6
943,00355296,n,villancico,4
944,00355403,n,nana,1
945,00355940,n,scat,3
946,00356150,n,marcha,8
947,00356963,n,carillón,1
948,00358063,n,interpretación,420
949,00358359,n,interpretación,3
950,00358898,n,parodia,41
951,00359000,n,pantomima,16
952,00359430,n,actuación,397
953,00360073,n,sainete,10
954,00360520,n,prestidigitación,1
955,00360644,n,animación,115
956,00361086,n,trastorno,1
