,Synset,Glosa
566,100133160,golpe dado con el revés_de_la_mano
567,100133234,golpe brusco e inclinado
568,100133338,None
569,100133567,None
570,100133668,None
571,100133875,None
572,100133981,None
573,100134099,None
574,100134246,None
575,100134391,golpe agudo hecho con el bate de béisbol
576,100134472,None
577,100134574,None
578,100134780,golpe con el puño
579,100135148,golpe con la mano ( normalmente en la oreja )
580,100135311,None
581,100135504,puñetazo dado en respuesta a otro ( especialmente por un boxeador )
582,100135637,None
583,100135799,None
584,100135952,None
585,100136048,None
586,100136152,golpe inesperado
587,100136230,golpe lanzado con una oscilación exagerada
588,100136329,None
589,100136691,None
590,100136876,intento de marcar un gol
591,100136984,None
592,100137279,None
593,100137534,None
594,100137709,None
595,100137877,None
596,100138078,None
597,100138221,None
598,100138441,None
599,100138599,beso caluroso
600,100138734,fuerte beso
601,100138799,None
602,100138956,None
603,100139544,None
604,100139758,None
605,100139919,None
606,100140112,None
607,100140264,None
608,100140393,None
609,100140652,None
610,100140900,acción de tocar algo con los dedos
611,100141027,None
612,100141176,examen metódico o revisión de una condición o situación
613,100141396,None
614,100141669,None
615,100141806,None
616,100142140,None
617,100142361,None
618,100142665,None
619,100143057,None
620,100143251,None
621,100143536,inspección cuidadosa y minuciosa
622,100143626,examen o inspección rápida y superficial
623,100143763,None
624,100143885,None
625,100144182,None
626,100144445,None
627,100144632,toque ligero con las manos
628,100144778,None
629,100145024,None
630,100145218,None
631,100145779,conexión hecha a_través_de Internet a otro sitio_web
632,100145929,None
633,100146111,None
634,100146277,None
635,100146443,None
636,100146572,None
637,100146856,None
638,100147091,None
639,100147187,None
640,100147314,None
641,100147454,None
642,100147595,None
643,100147862,None
644,100148057,None
645,100148242,None
646,100148446,None
647,100148653,None
648,100148762,acoplamiento con espigas
649,100148836,None
650,100148978,None
651,100149084,None
652,100149262,None
653,100149508,None
654,100149699,None
655,100149895,None
656,100150097,None
657,100150228,None
658,100150379,None
659,100150591,tocar con la lengua
660,100150762,None
661,100150932,None
662,100151087,acto de detectar algo observar algo
663,100151314,None
664,100151409,None
665,100151497,None
666,100151914,None
667,100152018,None
668,100152230,None
669,100152338,None
670,100152519,None
671,100152727,None
672,100152990,None
673,100153105,identificación de una enfermedad según sus síntomas
674,100153288,None
675,100153499,None
676,100153665,predicción del curso de una enfermedad
677,100153809,hallazgo de una solución a un problema
678,100153961,None
679,100154233,validación de la autenticidad de algo o alguien
680,100154433,validación por medio de documentos
681,100154689,None
682,100154894,None
683,100155085,None
684,100155298,None
685,100155487,especificación de la situación de algo
686,100155797,None
687,100155970,None
688,100156119,None
689,100156293,None
690,100156390,None
691,100156625,provocación deliberada e intencional ( de conflictos o discordias )
692,100156812,None
693,100157081,None
694,100157318,influencia estimulante entre diversos elementos
695,100157463,None
696,100157687,None
697,100157877,publicidad inadecuada
698,100157957,None
699,100158185,None
700,100158443,None
701,100158805,None
702,100158996,None
703,100159177,None
704,100159396,None
705,100159620,None
706,100159899,None
707,100160073,None
708,100160297,None
709,100160415,None
710,100160532,None
711,100160688,acto de seducción que culmina en relaciones sexuales
712,100160922,None
713,100161044,None
714,100161243,None
715,100161603,None
716,100161739,None
717,100161888,None
718,100162055,None
719,100162236,elección o decisión tomada puramente al azar
720,100162417,None
721,100162632,None
722,100163047,None
723,100163233,None
724,100163406,None
725,100163630,None
726,100163779,None
727,100164152,None
728,100164345,None
729,100164579,None
730,100164801,determinación tomada por un árbitro o juez_deportivo
731,100164999,None
732,100165178,nombramiento de un delegado
733,100165298,None
734,100165563,None
735,100165793,None
