,Source Synset,Target Synset
45815,105722427,105723080
45816,105722427,105723210
45817,105722868,105722754
45818,105723210,105723417
45819,105723210,105723563
45820,105723210,105724234
45821,105723210,105724357
45822,105723563,105723811
45823,105723811,105724019
45824,105723811,105724121
45825,105724694,105724965
45826,105724694,105725137
45827,105724694,105725269
45828,105725378,105725527
45829,105725378,105725676
45830,105725378,105725879
45831,105726093,105726237
45832,105726345,105726596
45833,105726345,105930736
45834,105726345,106176107
45835,105726345,106177729
45836,105726596,105727220
45837,105726596,105727808
45838,105726596,105728024
45839,105726596,105728493
45840,105726596,105728678
45841,105726596,105729036
45842,105726596,105729483
45843,105726596,105729609
45844,105726596,105729875
45845,105726596,105730046
45846,105726596,106162979
45847,105726596,115173479
45848,105727220,105727427
45849,105727220,105732446
45850,105727220,105732614
45851,105727220,105733090
45852,105727220,105733221
45853,105727220,105733361
45854,105728024,105728271
45855,105728024,106010583
45856,105728024,106010737
45857,105728493,105732273
45858,105728678,105731779
45859,105728678,105837271
45860,105728678,105837370
45861,105728678,113415547
45862,105729036,105729362
45863,105729036,106025521
45864,105729036,106025689
45865,105729036,106025854
45866,105729036,106026635
45867,105729036,106036697
45868,105729875,105732086
45869,105730365,105730591
45870,105730365,105730724
45871,105730365,105730930
45872,105730365,105731062
45873,105730365,105731223
45874,105730365,105731405
45875,105731779,105730163
45876,105731779,105730365
45877,105731779,105731568
45878,105732756,105641432
45879,105732756,105733583
45880,105732756,105734559
45881,105732756,105734909
45882,105732756,105735789
45883,105732756,105736002
45884,105733583,105733864
45885,105733583,105736149
45886,105733583,105738625
45887,105733583,105747495
45888,105733583,105747582
45889,105733583,105747937
45890,105733864,105734018
45891,105734018,105734288
45892,105734018,105734381
45893,105734018,105734477
45894,105734559,105735256
45895,105734559,105735478
45896,105734559,105735680
45897,105734909,105735145
45898,105736149,105736468
45899,105736149,105736593
45900,105736149,105736736
45901,105736149,105737025
45902,105736149,105737153
45903,105736149,105738404
45904,105736736,105736893
45905,105737153,105737532
45906,105737153,105737752
45907,105737153,105737982
45908,105737153,105738204
45909,105738625,105738894
45910,105738625,105739400
45911,105738625,105743496
45912,105738625,105747160
45913,105739043,105740929
45914,105739043,105741139
45915,105739043,105741340
45916,105739043,105741578
45917,105739043,105741765
45918,105739043,105743296
45919,105739043,105743770
45920,105739043,105744288
45921,105739043,105744421
45922,105739043,105744976
45923,105739043,105745098
45924,105739043,105746868
45925,105739043,113779570
45926,105739613,105739965
45927,105739613,105740162
45928,105740300,105740560
45929,105740300,105743870
45930,105740560,105740804
45931,105740929,105742551
45932,105740929,105742962
45933,105740929,105743174
45934,105741949,105742241
45935,105742551,105739613
45936,105742551,105741949
45937,105742551,105742703
45938,105743870,105744010
45939,105744421,105744620
45940,105744421,105744792
45941,105745098,105745369
45942,105745098,105745486
45943,105745098,105745648
45944,105745098,105745744
45945,105745098,105745907
45946,105745098,105746708
45947,105745907,105746163
45948,105745907,105746424
45949,105747160,105747322
45950,105747582,105747815
45951,105748054,105748285
45952,105748054,105749402
45953,105748054,105749619
45954,105748285,105748614
45955,105748285,105748786
45956,105748285,105749210
45957,105748786,105749042
45958,105749619,105750027
45959,105749619,105750163
45960,105749619,105751707
45961,105749619,105751794
45962,105750163,105750471
45963,105750163,105750657
45964,105750163,105751533
45965,105750657,105672286
45966,105750657,105750948
45967,105750657,105751063
45968,105750657,105751173
45969,105750657,105751430
45970,105751794,105752020
45971,105751794,105752179
45972,105751794,105752422
45973,105752020,105752296
45974,105752544,105752921
45975,105752544,105753207
45976,105752544,105753379
45977,105752544,105753564
45978,105752544,105753954
45979,105752544,105754730
45980,105752544,105754899
45981,105752544,105755156
45982,105752544,105755883
45983,105752544,105756203
45984,105752921,105758692
45985,105752921,105758907
45986,105752921,105759182
45987,105752921,105759696
45988,105752921,105759949
45989,105753207,105755486
45990,105753207,105755714
45991,105753564,105757049
45992,105753564,105757234
45993,105753564,105757423
45994,105753564,105757536
45995,105753564,105757731
45996,105753564,105757902
45997,105753954,105754197
45998,105753954,105754519
45999,105754899,105755007
46000,105755156,105755393
46001,105756203,105756414
46002,105756414,105756698
46003,105758059,105758382
46004,105758059,105758548
46005,105759696,105759487
46006,105760202,105760611
46007,105760202,105760751
46008,105760202,105760877
46009,105760202,105761380
46010,105760202,105761559
46011,105760202,105762998
46012,105760202,105763916
46013,105760202,105764973
46014,105760877,105761044
46015,105760877,105761160
46016,105760877,105761277
46017,105761559,105762149
46018,105761559,105762258
46019,105761559,105762483
46020,105761559,105762671
46021,105762998,105763412
46022,105762998,105763767
46023,105763916,105764197
46024,105764197,105774415
46025,105764365,105764613
46026,105764365,105764779
46027,105765159,105765415
46028,105765159,105765901
46029,105765159,105766984
46030,105765159,105767386
46031,105765159,105767733
46032,105765415,106807971
46033,105765415,106808121
46034,105765415,106808271
46035,105765415,106809291
46036,105765415,106856487
46037,105765415,106880664
46038,105765901,105766077
46039,105766247,105766698
46040,105766984,105767245
46041,105767733,105768107
46042,105767733,105768252
46043,105767733,105768415
46044,105767733,105768553
46045,105767733,105769314
46046,105767733,105769833
46047,105767733,105769930
46048,105768252,105775829
46049,105768252,105775919
46050,105768553,105769062
46051,105768553,105769156
46052,105768806,105769471
46053,105768806,105769726
46054,105770058,105770257
46055,105770058,105770391
46056,105770391,100320742
46057,105770664,105770058
46058,105770664,105770926
46059,105770664,105771679
46060,105770664,105788149
46061,105770664,105804793
46062,105770664,105808557
46063,105770926,105771532
46064,105770926,105771836
46065,105770926,105772356
46066,105770926,105773407
46067,105770926,105773548
46068,105770926,105784560
46069,105770926,105784699
