,Synset,W Num,Word,Type,Sense,Tag Count
6912,105773049,1,argumentação,n,1,0
6913,105773049,2,argumento,n,1,0
6914,105774129,1,dedução,n,1,0
6915,105775081,1,previsão,n,2,0
6916,105775293,1,projecção,n,1,0
6917,105775407,1,profecia,n,1,0
6918,105775829,1,previsão,n,3,0
6919,105776015,1,prefiguração,n,1,0
6920,105779371,1,especulação,n,5,0
6921,105779568,1,ideologia,n,1,0
6922,105780104,1,generalização,n,1,0
6923,105780885,1,birra,n,1,0
6924,105780885,2,consequência,n,2,0
6925,105780885,3,dedução,n,2,0
6926,105780885,4,embirração,n,1,0
6927,105780885,5,envolvimento,n,2,0
6928,105780885,6,implicação,n,2,0
6929,105780885,7,implicância,n,1,0
6930,105780885,8,importunação,n,1,0
6931,105780885,9,quezília,n,1,0
6932,105781347,1,presunção,n,1,0
6933,105781541,1,conclusão,n,5,0
6934,105782140,1,dissecação,n,1,0
6935,105782245,1,eliminação,n,3,0
6936,105783940,1,síntese,n,1,0
6937,105784242,1,estudo,n,5,0
6938,105784831,1,consideração,n,3,0
6939,105784831,2,reflexão,n,5,0
6940,105785067,1,consideração,n,4,0
6941,105785067,2,deliberação,n,1,0
6942,105785067,3,ponderação,n,1,0
6943,105785508,1,cogitação,n,1,0
6944,105785508,2,consideração,n,5,0
6945,105785508,3,contemplação,n,2,0
6946,105785508,4,deliberação,n,1,0
6947,105785508,5,digestão,n,1,0
6948,105785508,6,elucubração,n,1,0
6949,105785508,7,especulação,n,4,0
6950,105785508,8,meditação,n,1,0
6951,105785508,9,pensamento,n,4,0
6952,105785508,10,ponderabilidade,n,1,0
6953,105785508,11,ponderação,n,2,0
6954,105785508,12,racionalização,n,1,0
6955,105785508,13,reflexão,n,6,0
6956,105785508,14,ressalto,n,1,0
6957,105785508,15,ricochete,n,1,0
6958,105785508,16,ruminação,n,1,0
6959,105786184,1,meditação,n,2,0
6960,105788149,1,decisão,n,6,0
6961,105789089,1,acordo,n,4,0
6962,105789089,2,resolução,n,4,0
6963,105790012,1,reexame,n,1,0
6964,105790242,1,eleição,n,4,0
6965,105790242,2,escolha,n,2,0
6966,105790242,3,seleção,n,2,0
6967,105790452,1,prazer,n,3,0
6968,105790452,2,satisfação,n,2,0
6969,105790758,1,favorito,n,2,0
6970,105790944,1,alternativa,n,1,0
6971,105790944,2,eleição,n,5,0
6972,105790944,3,escolha,n,3,0
6973,105790944,4,flutuações,n,1,0
6974,105790944,5,optação,n,1,0
6975,105790944,6,opção,n,2,0
6976,105790944,7,revezamen-to,n,1,0
6977,105790944,8,variações,n,1,0
6978,105791452,1,preferência,n,2,0
6979,105792010,1,oportunidade,n,3,0
6980,105792010,2,possibilidade,n,1,0
6981,105792446,1,impossível,n,4,0
6982,105793000,1,explicação,n,1,0
6983,105793210,1,fundamento,n,3,0
6984,105793210,2,princípio,n,2,0
6985,105793554,1,alicerce,n,2,0
6986,105793554,2,base,n,7,0
6987,105793554,3,fundamento,n,4,0
6988,105794057,1,chave,n,3,0
6989,105794403,1,racionalização,n,2,0
6990,105794694,1,planeamento,n,3,0
6991,105794694,2,planejamento,n,1,0
6992,105795044,1,acordo,n,5,0
6993,105795460,1,reserva,n,5,0
6994,105797473,1,inspiração,n,4,0
6995,105797597,1,apuramento,n,1,0
6996,105797597,2,averiguação,n,1,0
6997,105797597,3,consulta,n,1,0
6998,105797597,4,escavação,n,1,0
6999,105797597,5,estudo,n,6,0
7000,105797597,6,estúdio,n,2,0
7001,105797597,7,exploração,n,1,0
7002,105797597,8,indagação,n,1,0
7003,105797597,9,inquirição,n,1,0
7004,105797597,10,inquisição,n,1,0
7005,105797597,11,inquérito,n,4,0
7006,105797597,12,interrogatório,n,1,0
7007,105797597,13,investigação,n,4,0
7008,105797597,14,pesquisa,n,1,0
7009,105798043,1,ensaio,n,6,0
7010,105798043,2,exame,n,1,0
7011,105798043,3,experimentação,n,2,0
7012,105798043,4,experimento,n,1,0
7013,105798043,5,experiência,n,4,0
7014,105798043,6,prova,n,12,0
7015,105798043,7,teste,n,4,0
7016,105799212,1,prova,n,6,0
7017,105799212,2,teste,n,13,0
7018,105800272,1,testamento,n,1,0
7019,105800611,1,inquérito,n,5,0
7020,105800611,2,investigação,n,5,0
7021,105800611,3,pesquisa,n,4,0
7022,105802185,1,cálculo,n,2,0
7023,105802730,1,interpolação,n,1,0
7024,105802912,1,conversão,n,4,0
7025,105803212,1,digitalização,n,1,0
7026,105803379,1,aproximação,n,7,0
7027,105803379,2,estimativa,n,2,0
7028,105805475,1,acesso,n,1,0
7029,105805475,2,aperceção,n,1,0
7030,105805475,3,apreensão,n,1,0
7031,105805475,4,benevolência,n,1,0
7032,105805475,5,compreensão,n,3,0
7033,105805475,6,discernimento,n,3,0
7034,105805475,7,discriminação,n,1,0
7035,105805475,8,distinção,n,1,0
7036,105805475,9,entendimento,n,6,0
