,Subclass,Hierarchy_1,Hierarchy_2
509,subclass,Procedure,Proposition
510,subclass,Process,Physical
511,subclass,Product,Artifact
512,subclass,Proposition,Abstract
513,subclass,PropositionalAttitude,AsymmetricRelation
514,subclass,PropositionalAttitude,InheritableRelation
515,subclass,PropositionalAttitude,IntentionalRelation
516,subclass,Protein,Nutrient
517,subclass,Proton,SubatomicParticle
518,subclass,PseudoGraph,Graph
519,subclass,PsychologicalAttribute,BiologicalAttribute
520,subclass,PsychologicalDysfunction,DiseaseOrSyndrome
521,subclass,PsychologicalDysfunction,PsychologicalAttribute
522,subclass,PsychologicalProcess,BiologicalProcess
523,subclass,Publication,ContentDevelopment
524,subclass,Publication,Manufacture
525,subclass,PureSubstance,Substance
526,subclass,Pursuing,IntentionalProcess
527,subclass,Putting,Transfer
528,subclass,Quantity,Abstract
529,subclass,QuantityChange,InternalChange
530,subclass,QuaternaryFunction,Function
531,subclass,QuaternaryFunction,InheritableRelation
532,subclass,QuaternaryFunction,QuintaryRelation
533,subclass,QuaternaryPredicate,InheritableRelation
534,subclass,QuaternaryPredicate,Predicate
535,subclass,QuaternaryPredicate,QuaternaryRelation
536,subclass,QuaternaryRelation,InheritableRelation
537,subclass,QuaternaryRelation,Relation
538,subclass,Questioning,Directing
539,subclass,QuintaryPredicate,InheritableRelation
540,subclass,QuintaryPredicate,Predicate
541,subclass,QuintaryPredicate,QuintaryRelation
542,subclass,QuintaryRelation,InheritableRelation
543,subclass,QuintaryRelation,Relation
544,subclass,Radiating,Motion
545,subclass,RadiatingElectromagnetic,Radiating
546,subclass,RadiatingInfrared,RadiatingElectromagnetic
547,subclass,RadiatingLight,RadiatingElectromagnetic
548,subclass,RadiatingNuclear,Radiating
549,subclass,RadiatingSound,Radiating
550,subclass,RadiatingXRay,RadiatingElectromagnetic
551,subclass,RationalNumber,RealNumber
552,subclass,Reading,ContentDevelopment
553,subclass,RealNumber,Number
554,subclass,Reasoning,IntentionalPsychologicalProcess
555,subclass,RecreationOrExercise,IntentionalProcess
556,subclass,ReflexiveRelation,BinaryRelation
557,subclass,Region,Object
558,subclass,RegulatoryProcess,Guiding
559,subclass,Relation,Abstract
560,subclass,RelationExtendedToQuantities,InheritableRelation
561,subclass,RelationExtendedToQuantities,Relation
562,subclass,RelationalAttribute,Attribute
563,subclass,Releasing,Transfer
564,subclass,ReligiousOrganization,BeliefGroup
565,subclass,ReligiousOrganization,Organization
566,subclass,ReligiousProcess,OrganizationalProcess
567,subclass,Remembering,PsychologicalProcess
568,subclass,Removing,Transfer
569,subclass,Repairing,IntentionalProcess
570,subclass,Replication,OrganismProcess
571,subclass,RepresentationalArtWork,ArtWork
572,subclass,RepresentationalArtWork,Icon
573,subclass,ReproductiveBody,BodyPart
574,subclass,Reptile,ColdBloodedVertebrate
575,subclass,Requesting,Directing
576,subclass,Residence,StationaryArtifact
577,subclass,ResidentialBuilding,Building
578,subclass,ResidentialBuilding,Residence
579,subclass,Roadway,LandTransitway
580,subclass,Rodent,Mammal
581,subclass,Room,StationaryArtifact
582,subclass,Running,Ambulating
583,subclass,SaltWaterArea,WaterArea
584,subclass,SaturationAttribute,InternalAttribute
585,subclass,Saturday,Day
586,subclass,Second,TimeInterval
587,subclass,Seed,PlantAnatomicalStructure
588,subclass,Seed,ReproductiveBody
589,subclass,Seeing,Perception
590,subclass,Selecting,IntentionalPsychologicalProcess
591,subclass,SelfConnectedObject,Object
592,subclass,Selling,FinancialTransaction
593,subclass,Sentence,LinguisticExpression
594,subclass,SentientAgent,Agent
595,subclass,Separating,DualObjectProcess
596,subclass,September,Month
597,subclass,SequenceFunction,OneToOneFunction
598,subclass,ServiceProcess,SocialInteraction
599,subclass,Set,SetOrClass
600,subclass,SetOrClass,Abstract
601,subclass,SexAttribute,BiologicalAttribute
602,subclass,SexualReproduction,Replication
603,subclass,ShapeAttribute,StructureAttribute
604,subclass,ShapeChange,InternalChange
