,Synset,Glosa
639,100147187,None
640,100147314,None
641,100147454,None
642,100147595,None
643,100147862,None
644,100148057,None
645,100148242,None
646,100148446,None
647,100148653,None
648,100148762,None
649,100148836,None
650,100148978,None
651,100149084,None
652,100149262,None
653,100149508,None
654,100149699,None
655,100149895,None
656,100150097,None
657,100150228,None
658,100150379,None
659,100150591,None
660,100150762,None
661,100150932,None
662,100151087,None
663,100151314,None
664,100151409,None
665,100151497,None
666,100151914,None
667,100152018,Atribució a un mateix les característiques d''altres
668,100152230,None
669,100152338,None
670,100152519,None
671,100152727,Determinació de la causa o natura d''un fenomen
672,100152990,None
673,100153105,None
674,100153288,None
675,100153499,None
676,100153665,None
677,100153809,Acció i efecte de trobar la solució a un problema
678,100153961,None
679,100154233,None
680,100154433,None
681,100154689,None
682,100154894,None
683,100155085,None
684,100155298,None
685,100155487,Determinació de la posició duna persona o una cosa
686,100155797,None
687,100155970,None
688,100156119,None
689,100156293,None
690,100156390,None
691,100156625,None
692,100156812,None
693,100157081,Que causa alguna cosa sense tindre un efecte directe o aparent
694,100157318,None
695,100157463,Acte de sotmetre algú a alguna experiència
696,100157687,None
697,100157877,None
698,100157957,None
699,100158185,None
700,100158443,None
701,100158805,None
702,100158996,None
703,100159177,None
704,100159396,None
705,100159620,Influència per despertar l''esperança o el desig
706,100159899,None
707,100160073,None
708,100160297,None
709,100160415,None
710,100160532,None
711,100160688,None
712,100160922,None
713,100161044,None
714,100161243,Acció i efecte d''elegir o seleccionar
715,100161603,None
716,100161739,None
717,100161888,None
718,100162055,None
719,100162236,None
720,100162417,None
721,100162632,Acció i efecte de decidir
722,100163047,None
723,100163233,None
724,100163406,None
725,100163630,None
726,100163779,None
727,100164152,None
728,100164345,None
729,100164579,None
730,100164801,None
731,100164999,None
732,100165178,None
733,100165298,None
734,100165563,None
735,100165793,None
736,100165942,Acció i efecte de decidir-se a fer alguna cosa
737,100166172,None
738,100166355,Acció de moure una peça dels escacs
739,100166552,None
740,100166702,None
741,100166865,None
742,100167063,None
743,100167278,None
744,100167446,None
745,100167580,None
746,100167764,None
747,100167950,None
748,100168121,None
749,100168237,None
750,100168505,None
751,100168658,None
752,100168911,None
753,100169047,None
754,100169147,None
755,100169305,None
756,100169522,None
757,100169651,None
758,100169811,None
759,100170005,None
760,100170172,None
761,100170340,None
762,100170536,None
763,100170643,None
764,100170710,None
765,100170844,None
766,100171050,None
767,100171249,None
768,100171507,None
769,100171618,Acció o recurs enganyós
770,100171882,None
771,100172073,None
772,100172217,None
773,100172347,None
774,100172490,None
775,100172598,None
776,100172710,Procediment mitjançant el qual es realitza una cosa
777,100173172,None
778,100173283,None
779,100173487,None
780,100173761,Mitjà a través del qual es consegueix alguna cosa
781,100174003,None
782,100174127,None
783,100174260,None
784,100174412,Qualsevol maniobra que forma part de la progressió per arribar a un objectiu
785,100174663,None
786,100174782,None
787,100174950,None
788,100175174,None
789,100175433,None
790,100175605,None
791,100175875,None
792,100176052,None
793,100176312,None
794,100176449,None
795,100176609,None
796,100176766,None
797,100176994,Tàctica en la qual una companyia es defensa mitjançant la venda de tot allò que pugui ser útil
798,100177127,None
799,100177448,Mitjans destinats a una finalitat; no necessàriament ètics o de principis
800,100177638,None
801,100177783,None
802,100178024,None
803,100178177,None
804,100178551,None
805,100178700,None
806,100178832,None
807,100178972,None
808,100179125,None
809,100179275,None
810,100179380,None
811,100179576,None
812,100179683,None
813,100179916,None
814,100180054,None
815,100180228,None
816,100180413,None
817,100180770,None
818,100180962,None
819,100181191,None
820,100181373,None
821,100181495,None
822,100181640,None
823,100181781,Acció i efecte d''elegir un candidat en unes eleccions
824,100182213,Opinió sobre alguna cosa o algú que pot ser determinada per l''acció de votar
825,100182435,None
826,100182571,None
827,100182723,None
828,100182897,None
829,100183084,None
830,100183240,None
831,100183357,None
832,100183505,None
833,100183995,None
834,100184135,None
835,100184362,None
836,100184501,None
837,100184652,None
838,100184802,None
839,100184981,None
840,100185104,None
841,100185307,None
842,100185438,None
843,100185612,None
844,100185778,None
845,100186251,None
846,100186549,None
847,100186634,Acte d''anotar en un joc o esport
848,100187056,None
849,100187144,None
850,100187337,None
851,100187499,None
852,100187710,None
853,100187890,None
854,100188007,None
855,100188183,None
856,100188341,None
857,100188449,None
858,100188620,None
859,100188766,None
860,100188934,None
861,100189106,None
862,100189257,None
863,100189476,None
864,100189565,Puntuació en beisbol que s''aconsegueix quan un corredor toca les quatre bases
865,100189896,None
866,100190040,None
867,100190180,None
868,100190338,None
869,100190431,None
870,100190579,None
871,100190783,None
872,100190931,None
873,100191142,Acte de canviar quelcom
874,100191980,None
875,100192149,None
876,100192300,Acció i efecte de canviar en complexitat
877,100192457,None
878,100192613,None
879,100192910,None
880,100193099,None
881,100193225,None
882,100193406,None
883,100193622,None
884,100193811,None
885,100194005,None
886,100194127,None
887,100194257,None
888,100194414,None
889,100194645,None
890,100194831,None
891,100194969,None
892,100195194,None
893,100195415,None
894,100195569,None
895,100195938,None
896,100196084,Acció i efecte de canviar una cosa per una altra o una posició per una altra
897,100196402,None
898,100196485,None
899,100196848,None
900,100197136,None
901,100197229,None
902,100197419,None
903,100197610,None
904,100197772,None
905,100198118,None
906,100198270,None
907,100198451,None
908,100198631,None
909,100198793,Acció i efecte de perdre posició o reputació
910,100198919,None
911,100199130,Fet de canviar quelcom essencial o característic d''alguna cosa
912,100199707,None
913,100200041,None
914,100200244,None
915,100200379,None
916,100200563,None
917,100200768,None
918,100201058,Acte de passar d''un estadi al següent
919,100201269,None
920,100201397,None
921,100201516,None
922,100201671,None
923,100201923,None
924,100202284,Acció i efecte de resistir o oposar-se a alguna cosa
925,100202620,None
926,100202816,Acció de fer alguna cosa d''una manera que s''oposa a una altra que no t''agrada;
927,100203020,None
928,100203208,None
929,100203342,Acció de rebutjar a alguna cosa
930,100203649,None
931,100203753,None
932,100204022,None
933,100204199,None
934,100204334,None
935,100204439,Acció d''abandonar o renunciar a alguna cosa
936,100204659,"Acte d''abandonar algú per tal que pugui ser recollit, especialment un infant"
937,100204814,None
938,100204943,"Desvinculació d''una organització, entitat..."
939,100205079,None
940,100205349,None
941,100205543,"Acció i efecte de desistir d''un projecte, d''una activitat o d''un càrrec"
942,100205649,None
943,100205891,"Acció i efecte de perdre un dret, una oportunitat, el respecte, l''honor, etc."
944,100206130,None
945,100206302,None
946,100206600,None
947,100206779,None
948,100206927,None
949,100207306,None
950,100207434,None
951,100207622,None
952,100207761,None
953,100208141,None
954,100208277,None
955,100208521,Acció i efecte de baixar de categoria
956,100208694,None
957,100208797,None
958,100208943,None
959,100209132,None
960,100209301,None
961,100209446,None
962,100209546,None
963,100209680,None
964,100209789,None
965,100209943,Acte de posar fi a alguna cosa
966,100210518,None
967,100210797,None
968,100210940,None
969,100211110,Acció de completar o completar-se
970,100211462,None
971,100211593,None
972,100211776,None
973,100212065,None
974,100212205,Retirada de la teva posició o ocupació
975,100212377,None
976,100212551,None
977,100212678,None
978,100212808,Acció de renunciar a alguna cosa
979,100213052,None
980,100213186,None
981,100213343,None
982,100213482,None
983,100213694,Document formal en el qual es renuncia
984,100213903,None
985,100214148,None
986,100214315,None
987,100214526,None
988,100214794,None
989,100215013,None
990,100215314,Finalització de una relació (entre persones o nacions)
991,100215534,None
992,100215683,None
993,100215838,None
994,100216038,None
995,100216174,None
996,100216607,None
997,100216723,None
998,100216834,None
999,100217014,Acció i efecte de destruir
1000,100217499,Acte de conseqüències molt negatives
1001,100217593,None
1002,100217773,None
1003,100218045,None
1004,100218208,None
1005,100218427,None
1006,100218602,None
1007,100218753,None
1008,100218902,None
1009,100219012,Acte de posar fi a la vida
1010,100219463,None
1011,100219575,None
1012,100219738,None
1013,100219856,None
1014,100220023,Acte criminal consistent en matar una persona
1015,100220219,None
1016,100220409,None
1017,100220522,Acte criminal consistent en matar una persona premeditadament
1018,100221056,None
1019,100221178,None
1020,100221343,None
1021,100221480,None
1022,100221596,None
1023,100221727,None
1024,100221819,None
1025,100221900,None
1026,100221981,None
1027,100222064,None
1028,100222155,None
1029,100222248,None
1030,100222376,Acció de caure alguna cosa (com un arbre)
1031,100222485,Acció de treure''s la vida un mateix
1032,100222766,None
1033,100222939,None
1034,100223144,None
1035,100223268,None
1036,100223362,None
1037,100223575,None
1038,100223720,Assassinat dun adversari
1039,100223854,None
1040,100223983,None
1041,100224260,None
1042,100224599,None
1043,100224738,None
1044,100224936,None
1045,100225070,None
1046,100225150,None
1047,100225361,None
1048,100225484,None
1049,100225593,None
1050,100225786,None
1051,100226107,None
1052,100226319,None
1053,100226511,None
1054,100226711,None
1055,100226951,None
1056,100227137,None
1057,100227264,None
1058,100227484,None
1059,100227595,Acte de matar (un animal o persona) per propiciar alguna deïtat
1060,100227848,None
1061,100227969,None
1062,100228078,None
1063,100228181,None
1064,100228283,None
1065,100228535,None
1066,100228762,None
1067,100228911,None
1068,100229034,None
1069,100229260,Acció d''acabar les operacions
1070,100229587,None
1071,100229688,None
1072,100229814,None
1073,100229934,None
1074,100230172,None
1075,100230324,None
1076,100230475,None
1077,100230703,None
1078,100230824,None
1079,100230997,None
1080,100231161,None
1081,100231315,None
1082,100231412,None
1083,100231567,None
1084,100231887,None
1085,100232147,None
1086,100232386,None
1087,100232604,None
1088,100232765,None
1089,100232863,None
1090,100233212,None
1091,100233386,None
1092,100233614,None
1093,100233795,None
1094,100233980,None
1095,100234105,None
1096,100234277,None
1097,100234423,None
1098,100234675,None
1099,100234892,Canvi d''estat a l''estat oposat
1100,100235074,None
1101,100235208,None
1102,100235435,Acció de començar alguna cosa
1103,100236194,None
1104,100236581,None
1105,100236821,None
1106,100236953,None
1107,100237078,Institució d''una entitat o organisme
1108,100237705,None
1109,100237869,"En teologia, acció de Déu de donar existència a l''Univers"
1110,100238022,Acte de començar alguna cosa nova
1111,100238326,None
1112,100238527,None
1113,100238778,None
1114,100238871,None
1115,100239024,None
1116,100239230,Primera acció d''una sèrie d''accions
1117,100239483,None
1118,100239666,None
1119,100239766,None
1120,100239910,None
1121,100240184,Principi o creació d''alguna cosa
1122,100240754,None
1123,100240938,None
1124,100241245,None
1125,100241507,None
1126,100241699,None
1127,100242003,None
1128,100242146,None
1129,100242431,None
1130,100242583,None
1131,100242808,None
1132,100243102,None
1133,100243237,None
1134,100243373,None
1135,100243577,None
1136,100243662,None
1137,100243813,None
1138,100243918,None
1139,100246341,None
1140,100246460,None
1141,100246552,None
1142,100246754,None
1143,100246940,None
1144,100247081,None
1145,100247229,None
1146,100247342,None
1147,100247442,None
1148,100247654,None
1149,100247792,None
1150,100247955,None
1151,100248063,None
1152,100248252,None
1153,100248368,None
1154,100248534,None
1155,100248636,None
1156,100248748,None
1157,100248977,None
1158,100249501,"Millora, creixement o desenvolupament graduals"
1159,100249780,L''avenç d''alguna empresa
1160,100249987,None
1161,100250143,None
1162,100250259,Acció i efecte de millorar
1163,100250597,None
1164,100250710,None
1165,100250882,None
1166,100251013,Acció de netejar
1167,100251520,None
1168,100251636,None
1169,100251780,None
1170,100252020,None
1171,100252169,None
1172,100252307,None
1173,100252430,None
1174,100252662,None
1175,100252894,None
1176,100253070,None
1177,100253270,None
1178,100253395,None
1179,100253577,None
1180,100253773,None
1181,100253919,None
1182,100254166,None
1183,100254415,None
1184,100254597,None
1185,100254769,None
1186,100254922,None
1187,100255065,None
1188,100255214,None
1189,100255450,None
1190,100255600,None
1191,100255710,None
1192,100256122,None
1193,100256217,None
1194,100256309,None
1195,100256407,None
1196,100256501,None
1197,100256620,None
1198,100256746,Acció de pentinar-se el cabell
1199,100256961,None
1200,100257115,None
1201,100257228,None
1202,100257468,None
1203,100257580,None
1204,100257770,Acció de posar el cos en remull
1205,100257969,None
1206,100258093,None
1207,100258301,None
1208,100258403,None
1209,100258530,None
1210,100258695,None
1211,100258854,None
1212,100259177,None
1213,100259392,None
1214,100259544,None
1215,100259643,None
1216,100259894,None
1217,100260051,None
1218,100260494,Acció i efecte de fer que alguna cosa sigui perfecta
1219,100260622,None
1220,100260881,None
1221,100261029,None
1222,100261258,None
1223,100261405,None
1224,100261604,None
1225,100261797,None
1226,100261972,None
1227,100262249,None
1228,100262596,None
1229,100262743,None
1230,100262908,None
1231,100263000,None
1232,100263164,None
1233,100263272,None
1234,100263353,None
1235,100263492,None
1236,100263642,None
1237,100263813,None
1238,100263947,None
1239,100264088,None
1240,100264192,None
1241,100264366,None
1242,100264529,None
1243,100264775,None
1244,100264913,None
1245,100265119,None
1246,100265472,None
1247,100265773,None
1248,100265992,None
1249,100266149,None
1250,100266253,None
1251,100266401,None
1252,100266560,None
1253,100266645,None
1254,100266806,None
1255,100267217,None
1256,100267349,None
1257,100267522,None
1258,100267821,None
1259,100267917,None
1260,100268025,None
1261,100268112,None
1262,100268341,None
